id_registro_educacional;id_caso;fecha;asistencia_establecimiento;cambio_rutina;carga_demanda_academica;nivel_ruido_ambiente;transicion_dificil;observacion_breve;origen_dato
EDU-0061;PAC-002;2026-07-06;Asiste jornada completa;No;Baja;Alto;No;Jornada sin incidentes relevantes.;Sintético
EDU-0062;PAC-002;2026-07-07;Asiste jornada parcial;No;Moderada;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0063;PAC-002;2026-07-08;Asiste jornada completa;Sí;Alta;Alto;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0064;PAC-002;2026-07-09;Asiste jornada completa;No;Baja;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0065;PAC-002;2026-07-10;Asiste jornada completa;No;Alta;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0066;PAC-002;2026-07-11;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0067;PAC-002;2026-07-12;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0068;PAC-002;2026-07-13;Ausente;No;Baja;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0069;PAC-002;2026-07-14;Asiste jornada completa;No;Baja;Bajo;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0070;PAC-002;2026-07-15;Asiste jornada completa;No;Baja;Alto;No;Jornada sin incidentes relevantes.;Sintético
EDU-0071;PAC-002;2026-07-16;Asiste jornada parcial;No;Baja;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0072;PAC-002;2026-07-17;Asiste jornada completa;No;Moderada;Alto;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0073;PAC-002;2026-07-18;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0074;PAC-002;2026-07-19;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0075;PAC-002;2026-07-20;Asiste jornada completa;Sí;Moderada;Moderado;No;Cambio de rutina anticipado con apoyo visual.;Sintético
EDU-0076;PAC-002;2026-07-21;Asiste jornada completa;No;Moderada;Alto;No;Jornada sin incidentes relevantes.;Sintético
EDU-0077;PAC-002;2026-07-22;Asiste jornada parcial;Sí;Moderada;Moderado;No;Cambio de rutina anticipado con apoyo visual.;Sintético
EDU-0078;PAC-002;2026-07-23;Asiste jornada completa;No;Baja;Alto;No;Jornada sin incidentes relevantes.;Sintético
EDU-0079;PAC-002;2026-07-24;Asiste jornada completa;No;Alta;Moderado;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0080;PAC-002;2026-07-25;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0081;PAC-002;2026-07-26;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0082;PAC-002;2026-07-27;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0083;PAC-002;2026-07-28;Asiste jornada parcial;No;Baja;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0084;PAC-002;2026-07-29;Asiste jornada completa;No;Moderada;Bajo;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0085;PAC-002;2026-07-30;Ausente;No;Alta;Bajo;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0086;PAC-002;2026-07-31;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0087;PAC-002;2026-08-01;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0088;PAC-002;2026-08-02;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0089;PAC-002;2026-08-03;Asiste jornada completa;No;Moderada;Alto;No;Jornada sin incidentes relevantes.;Sintético
EDU-0090;PAC-002;2026-08-04;Asiste jornada parcial;Sí;Moderada;Bajo;No;Cambio de rutina anticipado con apoyo visual.;Sintético
EDU-0091;PAC-002;2026-08-05;Asiste jornada completa;No;Baja;Alto;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0092;PAC-002;2026-08-06;Asiste jornada completa;No;Moderada;Moderado;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0093;PAC-002;2026-08-07;Asiste jornada completa;No;Moderada;Alto;No;Jornada sin incidentes relevantes.;Sintético
EDU-0094;PAC-002;2026-08-08;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0095;PAC-002;2026-08-09;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0096;PAC-002;2026-08-10;Asiste jornada completa;Sí;Moderada;Bajo;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0097;PAC-002;2026-08-11;Asiste jornada completa;No;Moderada;Alto;No;Jornada sin incidentes relevantes.;Sintético
EDU-0098;PAC-002;2026-08-12;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0099;PAC-002;2026-08-13;Asiste jornada completa;No;Alta;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0100;PAC-002;2026-08-14;Asiste jornada parcial;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0101;PAC-002;2026-08-15;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0102;PAC-002;2026-08-16;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0103;PAC-002;2026-08-17;Asiste jornada completa;No;Moderada;Alto;No;Jornada sin incidentes relevantes.;Sintético
EDU-0104;PAC-002;2026-08-18;Asiste jornada completa;Sí;Moderada;Moderado;No;Cambio de rutina anticipado con apoyo visual.;Sintético
EDU-0105;PAC-002;2026-08-19;Asiste jornada completa;No;Baja;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0106;PAC-002;2026-08-20;Asiste jornada completa;No;Alta;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0107;PAC-002;2026-08-21;Asiste jornada completa;No;Moderada;Alto;No;Jornada sin incidentes relevantes.;Sintético
EDU-0108;PAC-002;2026-08-22;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0109;PAC-002;2026-08-23;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0110;PAC-002;2026-08-24;Asiste jornada parcial;No;Moderada;Alto;No;Jornada sin incidentes relevantes.;Sintético
EDU-0111;PAC-003;2026-07-01;Asiste jornada completa;No;Baja;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0112;PAC-003;2026-07-02;Asiste jornada completa;Sí;Moderada;Bajo;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0113;PAC-003;2026-07-03;Asiste jornada completa;Sí;Alta;Bajo;No;Cambio de rutina anticipado con apoyo visual.;Sintético
EDU-0114;PAC-003;2026-07-04;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0115;PAC-003;2026-07-05;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0116;PAC-003;2026-07-06;Asiste jornada completa;Sí;Moderada;Moderado;No;Cambio de rutina anticipado con apoyo visual.;Sintético
EDU-0117;PAC-003;2026-07-07;Asiste jornada completa;No;Baja;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0118;PAC-003;2026-07-08;Asiste jornada completa;Sí;Moderada;Moderado;No;Cambio de rutina anticipado con apoyo visual.;Sintético
EDU-0119;PAC-003;2026-07-09;Asiste jornada completa;No;Baja;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0120;PAC-003;2026-07-10;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0121;PAC-003;2026-07-11;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0122;PAC-003;2026-07-12;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0123;PAC-003;2026-07-13;Asiste jornada parcial;No;Moderada;Alto;No;Jornada sin incidentes relevantes.;Sintético
EDU-0124;PAC-003;2026-07-14;Asiste jornada completa;No;Moderada;Alto;No;Jornada sin incidentes relevantes.;Sintético
EDU-0125;PAC-003;2026-07-15;Asiste jornada completa;No;Baja;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0126;PAC-003;2026-07-16;Asiste jornada completa;No;Baja;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0127;PAC-003;2026-07-17;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0128;PAC-003;2026-07-18;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0129;PAC-003;2026-07-19;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0130;PAC-003;2026-07-20;Asiste jornada completa;No;Alta;Alto;No;Jornada sin incidentes relevantes.;Sintético
EDU-0131;PAC-003;2026-07-21;Asiste jornada completa;Sí;Moderada;Bajo;No;Cambio de rutina anticipado con apoyo visual.;Sintético
EDU-0132;PAC-003;2026-07-22;Asiste jornada parcial;No;Baja;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0133;PAC-003;2026-07-23;Asiste jornada completa;No;Moderada;Alto;No;Jornada sin incidentes relevantes.;Sintético
EDU-0134;PAC-003;2026-07-24;Asiste jornada completa;Sí;Moderada;Bajo;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0135;PAC-003;2026-07-25;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0136;PAC-003;2026-07-26;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0137;PAC-003;2026-07-27;Asiste jornada completa;Sí;Alta;Alto;No;Cambio de rutina anticipado con apoyo visual.;Sintético
EDU-0138;PAC-003;2026-07-28;Asiste jornada completa;No;Moderada;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0139;PAC-003;2026-07-29;Asiste jornada completa;Sí;Moderada;Bajo;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0140;PAC-003;2026-07-30;Asiste jornada completa;No;Moderada;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0141;PAC-003;2026-07-31;Asiste jornada completa;No;Moderada;Bajo;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0142;PAC-003;2026-08-01;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0143;PAC-003;2026-08-02;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0144;PAC-003;2026-08-03;Asiste jornada completa;Sí;Moderada;Alto;No;Cambio de rutina anticipado con apoyo visual.;Sintético
EDU-0145;PAC-003;2026-08-04;Asiste jornada completa;No;Alta;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0146;PAC-003;2026-08-05;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0147;PAC-003;2026-08-06;Asiste jornada completa;No;Alta;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0148;PAC-003;2026-08-07;Asiste jornada completa;Sí;Moderada;Moderado;No;Cambio de rutina anticipado con apoyo visual.;Sintético
EDU-0149;PAC-003;2026-08-08;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0150;PAC-003;2026-08-09;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0151;PAC-003;2026-08-10;Asiste jornada completa;No;Moderada;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0152;PAC-003;2026-08-11;Asiste jornada completa;No;Moderada;Alto;No;Jornada sin incidentes relevantes.;Sintético
EDU-0153;PAC-003;2026-08-12;Asiste jornada completa;Sí;Moderada;Bajo;No;Cambio de rutina anticipado con apoyo visual.;Sintético
EDU-0154;PAC-003;2026-08-13;Asiste jornada completa;No;Moderada;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0155;PAC-003;2026-08-14;Asiste jornada completa;No;Alta;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0156;PAC-003;2026-08-15;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0157;PAC-003;2026-08-16;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0158;PAC-003;2026-08-17;Asiste jornada completa;Sí;Moderada;Moderado;No;Cambio de rutina anticipado con apoyo visual.;Sintético
EDU-0159;PAC-003;2026-08-18;Asiste jornada completa;No;Alta;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0160;PAC-003;2026-08-19;Asiste jornada completa;No;Alta;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0161;PAC-003;2026-08-20;Ausente;Sí;Baja;Moderado;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0162;PAC-003;2026-08-21;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0163;PAC-003;2026-08-22;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0164;PAC-003;2026-08-23;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0165;PAC-003;2026-08-24;Asiste jornada completa;No;Moderada;Alto;No;Jornada sin incidentes relevantes.;Sintético
EDU-0166;PAC-004;2026-07-01;Asiste jornada parcial;No;Moderada;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0167;PAC-004;2026-07-02;Asiste jornada completa;No;Moderada;Alto;No;Jornada sin incidentes relevantes.;Sintético
EDU-0168;PAC-004;2026-07-03;Asiste jornada parcial;No;Moderada;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0169;PAC-004;2026-07-04;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0170;PAC-004;2026-07-05;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0171;PAC-004;2026-07-06;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0172;PAC-004;2026-07-07;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0173;PAC-004;2026-07-08;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0174;PAC-004;2026-07-09;Asiste jornada completa;No;Alta;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0175;PAC-004;2026-07-10;Asiste jornada parcial;No;Alta;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0176;PAC-004;2026-07-11;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0177;PAC-004;2026-07-12;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0178;PAC-004;2026-07-13;Asiste jornada completa;No;Alta;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0179;PAC-004;2026-07-14;Asiste jornada completa;Sí;Moderada;Bajo;No;Cambio de rutina anticipado con apoyo visual.;Sintético
EDU-0180;PAC-004;2026-07-15;Asiste jornada completa;No;Baja;Alto;No;Jornada sin incidentes relevantes.;Sintético
EDU-0181;PAC-004;2026-07-16;Asiste jornada completa;No;Baja;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0182;PAC-004;2026-07-17;Asiste jornada completa;No;Alta;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0183;PAC-004;2026-07-18;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0184;PAC-004;2026-07-19;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0185;PAC-004;2026-07-20;Asiste jornada parcial;No;Alta;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0186;PAC-004;2026-07-21;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0187;PAC-004;2026-07-22;Asiste jornada parcial;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0188;PAC-004;2026-07-23;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0189;PAC-004;2026-07-24;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0190;PAC-004;2026-07-25;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0191;PAC-004;2026-07-26;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0192;PAC-004;2026-07-27;Asiste jornada completa;No;Alta;Alto;No;Jornada sin incidentes relevantes.;Sintético
EDU-0193;PAC-004;2026-07-28;Asiste jornada completa;No;Baja;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0194;PAC-004;2026-07-29;Asiste jornada completa;No;Baja;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0195;PAC-004;2026-07-30;Asiste jornada completa;No;Alta;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0196;PAC-004;2026-07-31;Asiste jornada completa;Sí;Moderada;Moderado;No;Cambio de rutina anticipado con apoyo visual.;Sintético
EDU-0197;PAC-004;2026-08-01;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0198;PAC-004;2026-08-02;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0199;PAC-004;2026-08-03;Asiste jornada completa;No;Baja;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0200;PAC-004;2026-08-04;Asiste jornada completa;No;Alta;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0201;PAC-004;2026-08-05;Asiste jornada completa;No;Alta;Bajo;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0202;PAC-004;2026-08-06;Asiste jornada completa;No;Alta;Alto;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0203;PAC-004;2026-08-07;Asiste jornada completa;No;Moderada;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0204;PAC-004;2026-08-08;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0205;PAC-004;2026-08-09;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0206;PAC-004;2026-08-10;Asiste jornada parcial;Sí;Moderada;Bajo;No;Cambio de rutina anticipado con apoyo visual.;Sintético
EDU-0207;PAC-004;2026-08-11;Asiste jornada completa;No;Alta;Bajo;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0208;PAC-004;2026-08-12;Asiste jornada completa;No;Baja;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0209;PAC-004;2026-08-13;Asiste jornada completa;No;Moderada;Bajo;Sí;Se requirió apoyo adicional en al menos una transición.;Sintético
EDU-0210;PAC-004;2026-08-14;Asiste jornada completa;No;Moderada;Moderado;No;Jornada sin incidentes relevantes.;Sintético
EDU-0211;PAC-004;2026-08-15;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0212;PAC-004;2026-08-16;No aplica (fin de semana);No;Baja;Bajo;No;Sin jornada escolar.;Sintético
EDU-0213;PAC-004;2026-08-17;Asiste jornada completa;No;Baja;Bajo;No;Jornada sin incidentes relevantes.;Sintético
EDU-0214;PAC-004;2026-08-18;Asiste jornada completa;No;Alta;Bajo;No;Jornada sin incidentes relevantes.;Sintético
